County_FIPS_Code,County,PM25_Annual_Mean_2024,specification,k,local_moran_I,local_p_sim,quadrant,cluster,is_island,global_moran_I,expected_I,global_p_sim,global_z_sim,n_components,n_islands,seed,permutations
55003,Ashland,4.697527,legacy_queen,,-0.0,0.001,3,No neighbors,True,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55009,Brown,6.135246,legacy_queen,,0.09523785422930685,0.398,1,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55025,Dane,6.434959,legacy_queen,,-0.2817516433162294,0.332,4,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55027,Dodge,5.394867,legacy_queen,,-0.5305679988930968,0.094,2,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55035,Eau Claire,6.448328,legacy_queen,,-0.14354757413737673,0.471,4,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55041,Forest,4.722958,legacy_queen,,-0.0,0.001,3,No neighbors,True,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55043,Grant,7.346175,legacy_queen,,0.0,0.001,4,No neighbors,True,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55053,Jackson,5.677617,legacy_queen,,0.0868920801990502,0.292,3,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55059,Kenosha,5.972404,legacy_queen,,0.0,0.001,4,No neighbors,True,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55073,Marathon,5.492896,legacy_queen,,-0.0,0.001,3,No neighbors,True,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55079,Milwaukee,7.037637,legacy_queen,,0.2958807693816539,0.287,1,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55081,Monroe,4.546407,legacy_queen,,0.31733173453547714,0.453,3,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55087,Outagamie,6.106887,legacy_queen,,0.09523785422930685,0.408,1,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55089,Ozaukee,5.109836,legacy_queen,,-1.1640677660807393,0.024,2,Low-High,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55111,Sauk,5.60082,legacy_queen,,-0.2007309381347564,0.255,2,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55133,Waukesha,6.970588,legacy_queen,,-0.012874823906557916,0.42,4,Not significant,False,-0.13992343775941452,-0.06666666666666667,0.402,-0.2162602530301326,8,5,42,999
55003,Ashland,4.697527,knn_3,3,0.47415430503823247,0.211,3,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55009,Brown,6.135246,knn_3,3,-0.12097353065092464,0.264,4,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55025,Dane,6.434959,knn_3,3,0.1044944029245342,0.358,1,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55027,Dodge,5.394867,knn_3,3,-0.19788998998305718,0.283,2,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55035,Eau Claire,6.448328,knn_3,3,-0.49663586136175725,0.112,4,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55041,Forest,4.722958,knn_3,3,-0.08579853426945241,0.498,2,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55043,Grant,7.346175,knn_3,3,-0.6653140903193842,0.295,4,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55053,Jackson,5.677617,knn_3,3,0.08725326271376922,0.227,3,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55059,Kenosha,5.972404,knn_3,3,0.0817726376622135,0.123,1,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55073,Marathon,5.492896,knn_3,3,0.17437243344868888,0.214,3,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55079,Milwaukee,7.037637,knn_3,3,0.259586875243264,0.273,1,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55081,Monroe,4.546407,knn_3,3,-0.09426648830691288,0.499,2,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55087,Outagamie,6.106887,knn_3,3,-0.06192721849518716,0.367,4,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55089,Ozaukee,5.109836,knn_3,3,-0.8154018264168403,0.035,2,Low-High,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55111,Sauk,5.60082,knn_3,3,-0.08779052000129778,0.284,2,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55133,Waukesha,6.970588,knn_3,3,-0.012874823906557916,0.42,4,Not significant,False,-0.09714926444537797,-0.06666666666666667,0.461,-0.17458357202199434,1,0,42,999
55003,Ashland,4.697527,knn_4,4,0.425793697363175,0.161,3,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55009,Brown,6.135246,knn_4,4,-0.12517682669207106,0.205,4,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55025,Dane,6.434959,knn_4,4,0.37149429017652347,0.074,1,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55027,Dodge,5.394867,knn_4,4,-0.10845587642615181,0.359,2,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55035,Eau Claire,6.448328,knn_4,4,-0.4238183163473238,0.103,4,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55041,Forest,4.722958,knn_4,4,0.38151475907800597,0.192,3,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55043,Grant,7.346175,knn_4,4,-0.5892647184514933,0.292,4,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55053,Jackson,5.677617,knn_4,4,0.08089573560170002,0.182,3,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55059,Kenosha,5.972404,knn_4,4,0.043088328067995084,0.231,1,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55073,Marathon,5.492896,knn_4,4,0.057719421623626796,0.363,3,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55079,Milwaukee,7.037637,knn_4,4,0.009597076972846934,0.394,1,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55081,Monroe,4.546407,knn_4,4,-0.7336514673255314,0.167,2,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55087,Outagamie,6.106887,knn_4,4,-0.11004930312348442,0.216,4,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55089,Ozaukee,5.109836,knn_4,4,-0.4946848628533748,0.106,2,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55111,Sauk,5.60082,knn_4,4,-0.025881273939832233,0.414,2,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55133,Waukesha,6.970588,knn_4,4,0.03444107534738129,0.391,1,Not significant,False,-0.08042921739520056,-0.06666666666666667,0.476,-0.07925020699010293,1,0,42,999
55003,Ashland,4.697527,knn_5,5,0.752908190572182,0.027,3,Low-Low,False,-0.029373683791053914,-0.06666666666666667,0.307,0.3417333098448601,1,0,42,999
55009,Brown,6.135246,knn_5,5,-0.1861408566078277,0.074,4,Not significant,False,-0.029373683791053914,-0.06666666666666667,0.307,0.3417333098448601,1,0,42,999
